log_text,label,component,phase,severity,labels
"Catering truck arrived late, delaying final boarding procedures.",LOGISTICS_ISSUE,,pushback,low,4
Flight crew delayed in transit from inbound connection.,CREW_DELAY,,pre-departure,low,1
Flight crew delayed in transit from inbound connection.,CREW_DELAY,,pre-departure,low,1
Departure delayed due to low visibility and strong crosswinds.,WEATHER,,engine start,high,2
Passenger screening issue caused departure gate to close late.,SECURITY,,boarding,medium,5
Flight crew delayed in transit from inbound connection.,CREW_DELAY,,pre-departure,low,1
Extended taxi-in due to temporary runway closure by ATC.,ATC_RESTRICTION,,taxi-out,medium,3
Flight crew delayed in transit from inbound connection.,CREW_DELAY,,pre-departure,low,1
Snow accumulation on runway required additional clearance.,WEATHER,,engine start,high,2
Missing ground power unit required last-minute replacement.,LOGISTICS_ISSUE,,pushback,medium,4
Late pushback due to avionics panel issue discovered during engine start.,TECHNICAL_FAILURE,avionics panel,final check,medium,0
Extended taxi-in due to temporary runway closure by ATC.,ATC_RESTRICTION,,taxi-out,medium,3
Flight crew delayed in transit from inbound connection.,CREW_DELAY,,pre-departure,low,1
Flight crew delayed in transit from inbound connection.,CREW_DELAY,,pre-departure,low,1
"Catering truck arrived late, delaying final boarding procedures.",LOGISTICS_ISSUE,,pushback,low,4
Extended taxi-in due to temporary runway closure by ATC.,ATC_RESTRICTION,,taxi-out,medium,3
Technical inspection revealed anomaly in fuel valve during pre-departure.,TECHNICAL_FAILURE,fuel valve,final check,medium,0
Crew rest requirements caused delay in dispatch readiness.,CREW_DELAY,,pre-departure,medium,1
Holding pattern caused by ATC congestion over destination airport.,ATC_RESTRICTION,,taxi-out,medium,3
Crew rest requirements caused delay in dispatch readiness.,CREW_DELAY,,pre-departure,medium,1
Crew rest requirements caused delay in dispatch readiness.,CREW_DELAY,,pre-departure,medium,1
Holding pattern caused by ATC congestion over destination airport.,ATC_RESTRICTION,,taxi-out,medium,3
Security clearance delay due to unattended baggage reported at gate.,SECURITY,,boarding,high,5
